datetime,000651.SZ,002294.SZ,002572.SZ,300376.SZ,300498.SZ,601318.SH,cash,commission,total,returns,equity_curve,drawdown
2017-08-07,0.0,0.0,0.0,0.0,0.0,16786.13765948981,87745.06504185479,178.32999999999998,104531.20270134459,0.0011676686327055652,1.0453120270134462,0.030490351201399868
2017-08-08,0.0,0.0,0.0,0.0,0.0,16827.851211573645,87745.06504185479,178.32999999999998,104572.91625342844,0.00039905359362446546,1.0457291625342848,0.030073215680561205
2017-08-09,0.0,0.0,0.0,0.0,0.0,16702.719309964385,87745.06504185479,178.32999999999998,104447.78435181917,-0.0011965995220599712,1.044477843518192,0.03132453469665397
2017-08-10,0.0,0.0,0.0,0.0,0.0,0.0,104443.65035181917,182.46399999999997,104443.65035181917,-3.957958539424489e-05,1.0444365035181922,0.03136587469665386
2017-08-11,0.0,0.0,0.0,0.0,0.0,0.0,104443.65035181917,182.46399999999997,104443.65035181917,0.0,1.0444365035181922,0.03136587469665386
2017-08-14,0.0,0.0,0.0,0.0,0.0,0.0,104443.65035181917,182.46399999999997,104443.65035181917,0.0,1.0444365035181922,0.03136587469665386
2017-08-15,17103.43364796762,0.0,0.0,0.0,0.0,0.0,87223.89230410235,187.96299999999997,104327.32595206998,-0.0011137527207959463,1.0432732595207002,0.032529118694145875
2017-08-16,16810.84520855184,0.0,0.0,0.0,0.0,0.0,87223.89230410235,187.96299999999997,104034.73751265419,-0.002804523520043123,1.0403473751265424,0.03545500308830363
2017-08-17,16881.77016448672,0.0,0.0,0.0,0.0,0.0,87223.89230410235,187.96299999999997,104105.66246858907,0.0006817430180592332,1.0410566246858912,0.034745753528954815
2017-08-18,0.0,0.0,0.0,0.0,0.0,0.0,104100.16346858907,193.46199999999996,104100.16346858907,-5.28213343020667e-05,1.0410016346858912,0.03480074352895479
2017-08-21,0.0,0.0,0.0,0.0,0.0,0.0,104100.16346858907,193.46199999999996,104100.16346858907,0.0,1.0410016346858912,0.03480074352895479
2017-08-22,0.0,0.0,0.0,0.0,0.0,17877.213391606027,86921.55497728713,197.63499999999996,104798.76836889316,0.006710891482076153,1.0479876836889321,0.027814694525913897
2017-08-23,0.0,0.0,0.0,0.0,0.0,17941.982535723815,86921.55497728713,197.63499999999996,104863.53751301095,0.0006180334475860416,1.04863537513011,0.027167003084735963
